Time,Ax,Ay,Az
0.0,-12924,5552,13232
0.02,-12964,5632,13400
0.04,-13080,5460,13424
0.06,-13004,5448,13252
0.08,-12956,5584,13228
0.1,-13168,5452,13272
0.12,-12960,5516,13376
0.14,-13056,5600,13428
0.16,-12848,5492,13368
0.18,-13012,5516,13308
0.2,-13032,5484,13436
0.22,-12844,5516,13300
0.24,-13080,5428,13220
0.26,-12988,5460,13252
0.28,-12984,5568,13348
0.3,-13148,5548,13136
0.32,-13004,5528,13308
0.34,-13128,5512,13236
0.36,-12956,5644,13328
0.38,-13068,5520,13396
0.4,-13128,5592,13156
0.42,-13076,5476,13240
0.44,-13140,5568,13240
0.46,-12816,5460,13476
0.48,-12888,5464,13400
0.5,-13040,5392,13256
0.52,-13012,5420,13172
0.54,-13052,5472,13100
0.56,-13140,5600,13252
0.58,-13312,5800,13328
0.6,-12956,5724,13244
0.62,-12984,5632,13280
0.64,-13020,5516,13108
0.66,-12932,5496,13152
0.68,-13100,5528,13456
0.7,-13132,5484,13340
0.72,-13092,5500,13212
0.74,-12944,5476,13336
0.76,-12968,5568,13512
0.78,-12932,5560,13184
0.8,-12936,5496,13348
0.82,-13112,5552,13176
0.84,-13000,5532,13388
0.86,-12972,5476,13276
0.88,-12976,5652,13188
0.9,-12836,5556,13276
0.92,-12980,5456,13508
0.94,-12916,5500,13340
0.96,-13004,5504,13304
0.98,-13016,5600,13448
1.0,-12976,5372,13196
1.02,-13132,5404,13180
1.04,-13088,5528,13436
1.06,-13004,5484,13272
1.08,-13164,5548,13228
1.1,-13056,5492,13216
1.12,-12888,5556,13320
1.14,-13052,5720,13364
1.16,-13068,5616,13436
1.18,-13060,5544,13364
1.2,-12880,5468,13356
1.22,-13000,5496,13236
1.24,-13052,5528,13260
1.26,-12988,5548,13312
1.28,-13088,5632,13248
1.3,-13164,5664,13184
1.32,-12968,5540,13220
1.34,-13120,5464,13240
1.36,-12960,5572,13368
1.38,-13052,5648,13512
1.4,-13132,5512,13348
1.42,-12992,5392,13252
1.44,-12988,5416,13376
1.46,-12952,5440,13376
1.48,-13076,5528,13448
1.5,-12968,5528,13352
1.52,-13160,5448,13212
1.54,-12848,5396,13336
1.56,-12972,5376,13400
1.58,-13068,5464,13408
1.6,-13000,5456,13440
