Time,GRS,Ax,Ay,Az,Gx,Gy,Gz,HR,SPO2
0.00,1033,-12924,5552,13232,381,-516,70,67,61
0.02,1040,-12964,5632,13400,375,-568,132,67,61
0.04,1025,-13080,5460,13424,369,-431,153,67,61
0.06,1034,-13004,5448,13252,369,-377,145,67,61
0.08,1032,-12956,5584,13228,399,-380,67,67,61
0.10,1037,-13168,5452,13272,404,-471,56,67,61
0.12,1041,-12960,5516,13376,436,-519,40,67,61
0.14,1046,-13056,5600,13428,387,-390,-4,67,61
0.16,1031,-12848,5492,13368,402,-379,-7,67,61
0.18,1045,-13012,5516,13308,365,-373,37,67,61
0.20,1038,-13032,5484,13436,373,-452,32,67,61
0.22,1040,-12844,5516,13300,374,-395,5,67,61
0.24,1027,-13080,5428,13220,350,-454,73,67,61
0.26,1032,-12988,5460,13252,408,-471,60,67,61
0.28,1044,-12984,5568,13348,362,-281,31,67,61
0.30,1016,-13148,5548,13136,401,-359,27,67,61
0.32,1040,-13004,5528,13308,411,-370,9,67,61
0.34,1024,-13128,5512,13236,349,-485,16,67,61
0.36,1045,-12956,5644,13328,345,-376,57,67,61
0.38,1039,-13068,5520,13396,348,-283,30,67,61
0.40,1032,-13128,5592,13156,353,-480,-20,67,61
0.42,1038,-13076,5476,13240,361,-394,2,67,61
0.44,1038,-13140,5568,13240,333,-615,-9,67,61
0.46,1032,-12816,5460,13476,328,-537,-13,67,61
0.48,1025,-12888,5464,13400,328,-401,21,67,61
0.50,1037,-13040,5392,13256,356,-414,13,67,61
0.52,1038,-13012,5420,13172,397,-297,46,67,61
0.54,1041,-13052,5472,13100,492,-365,62,67,61
0.56,1037,-13140,5600,13252,519,-413,43,67,61
0.58,1026,-13312,5800,13328,494,-465,13,67,61
0.60,1035,-12956,5724,13244,404,-428,-1,67,61
0.62,1044,-12984,5632,13280,354,-347,25,67,61
0.64,1027,-13020,5516,13108,298,-536,68,67,61
0.66,1032,-12932,5496,13152,338,-601,80,71,61
0.68,1044,-13100,5528,13456,353,-448,59,71,61
0.70,1042,-13132,5484,13340,352,-542,-35,71,61
0.72,1025,-13092,5500,13212,351,-625,-18,71,61
0.74,1042,-12944,5476,13336,329,-681,10,71,61
0.76,1042,-12968,5568,13512,307,-568,39,71,61
0.78,1036,-12932,5560,13184,306,-542,38,71,61
0.80,1041,-12936,5496,13348,295,-421,78,71,61
0.82,1042,-13112,5552,13176,331,-581,78,71,61
0.84,1035,-13000,5532,13388,336,-495,10,71,61
0.86,1042,-12972,5476,13276,334,-414,14,71,61
0.88,1037,-12976,5652,13188,365,-518,12,71,61
0.90,1031,-12836,5556,13276,365,-634,57,71,61
0.92,1046,-12980,5456,13508,357,-472,12,71,61
0.94,1047,-12916,5500,13340,368,-407,16,71,61
0.96,1027,-13004,5504,13304,339,-457,80,71,61
0.98,1050,-13016,5600,13448,323,-529,40,71,61
1.00,1024,-12976,5372,13196,332,-354,31,71,61
