Time,Ax,Ay,Az,label
0.0,-12924,5552,13232,7
0.02,-12964,5632,13400,7
0.04,-13080,5460,13424,7
0.06,-13004,5448,13252,7
0.08,-12956,5584,13228,7
0.1,-13168,5452,13272,7
0.12,-12960,5516,13376,7
0.14,-13056,5600,13428,7
0.16,-12848,5492,13368,7
0.18,-13012,5516,13308,7
0.2,-13032,5484,13436,7
0.22,-12844,5516,13300,7
0.24,-13080,5428,13220,7
0.26,-12988,5460,13252,7
0.28,-12984,5568,13348,7
0.3,-13148,5548,13136,7
0.32,-13004,5528,13308,7
0.34,-13128,5512,13236,7
0.36,-12956,5644,13328,7
0.38,-13068,5520,13396,7
0.4,-13128,5592,13156,7
0.42,-13076,5476,13240,7
0.44,-13140,5568,13240,7
0.46,-12816,5460,13476,7
0.48,-12888,5464,13400,7
0.5,-13040,5392,13256,7
0.52,-13012,5420,13172,7
0.54,-13052,5472,13100,7
0.56,-13140,5600,13252,7
0.58,-13312,5800,13328,7
0.6,-12956,5724,13244,7
0.62,-12984,5632,13280,7
0.64,-13020,5516,13108,7
0.66,-12932,5496,13152,7
0.68,-13100,5528,13456,7
0.7,-13132,5484,13340,7
0.72,-13092,5500,13212,7
0.74,-12944,5476,13336,7
0.76,-12968,5568,13512,7
0.78,-12932,5560,13184,7
0.8,-12936,5496,13348,7
0.82,-13112,5552,13176,7
0.84,-13000,5532,13388,7
0.86,-12972,5476,13276,7
0.88,-12976,5652,13188,7
0.9,-12836,5556,13276,7
0.92,-12980,5456,13508,7
0.94,-12916,5500,13340,7
0.96,-13004,5504,13304,7
0.98,-13016,5600,13448,7
1.0,-12976,5372,13196,7
1.02,-13132,5404,13180,7
1.04,-13088,5528,13436,7
1.06,-13004,5484,13272,7
1.08,-13164,5548,13228,7
1.1,-13056,5492,13216,7
1.12,-12888,5556,13320,7
1.14,-13052,5720,13364,7
1.16,-13068,5616,13436,7
1.18,-13060,5544,13364,7
1.2,-12880,5468,13356,7
1.22,-13000,5496,13236,7
1.24,-13052,5528,13260,7
1.26,-12988,5548,13312,7
1.28,-13088,5632,13248,7
1.3,-13164,5664,13184,7
1.32,-12968,5540,13220,7
1.34,-13120,5464,13240,7
1.36,-12960,5572,13368,7
1.38,-13052,5648,13512,7
1.4,-13132,5512,13348,7
1.42,-12992,5392,13252,7
1.44,-12988,5416,13376,7
1.46,-12952,5440,13376,7
1.48,-13076,5528,13448,7
1.5,-12968,5528,13352,7
1.52,-13160,5448,13212,7
1.54,-12848,5396,13336,7
1.56,-12972,5376,13400,7
1.58,-13068,5464,13408,7
1.6,-13000,5456,13440,7
1.62,-13088,5432,13372,7
1.64,-12876,5496,13356,7
1.66,-12888,5488,13308,7
1.68,-13004,5516,13332,7
1.7,-13152,5464,13320,7
1.72,-12980,5448,13436,7
1.74,-13148,5476,13480,7
1.76,-12944,5520,13324,7
1.78,-12888,5440,13268,7
1.8,-13140,5504,13332,7
1.82,-12960,5488,13404,7
1.84,-13044,5612,13444,7
1.86,-13188,5592,13288,7
1.88,-13108,5416,13172,7
1.9,-12932,5444,13164,7
1.92,-12928,5552,13380,7
1.94,-13128,5508,13500,7
1.96,-13160,5540,13320,7
1.98,-13120,5504,13204,7
2.0,-12952,5492,13212,7
2.02,-13004,5488,13136,7
2.04,-13160,5472,13228,7
2.06,-13132,5560,13356,7
2.08,-13096,5568,13292,7
2.1,-13036,5512,13232,7
2.12,-12856,5500,13388,7
2.14,-12896,5488,13344,7
2.16,-13008,5592,13308,7
2.18,-13020,5484,13400,7
2.2,-13008,5360,13288,7
2.22,-12976,5416,13392,7
2.24,-13164,5464,13440,7
2.26,-12904,5496,13356,7
2.28,-12876,5396,13312,7
2.3,-12880,5396,13432,7
2.32,-12728,5488,13564,7
2.34,-12996,5356,13404,7
2.36,-13064,5412,13480,7
2.38,-13072,5556,13268,7
2.4,-12888,5568,13420,7
2.42,-12960,5520,13500,7
2.44,-13048,5552,13372,7
2.46,-12884,5508,13508,7
2.48,-12944,5524,13376,7
2.5,-12916,5412,13392,7
2.52,-13064,5512,13364,7
2.54,-13052,5556,13404,7
2.56,-12916,5456,13312,7
2.58,-12988,5568,13180,7
2.6,-12976,5676,13444,7
2.62,-12964,5528,13368,7
2.64,-13088,5540,13236,7
2.66,-13064,5484,13248,7
2.68,-13004,5512,13404,7
2.7,-13024,5492,13416,7
2.72,-12956,5608,13380,7
2.74,-13072,5516,13264,7
2.76,-13016,5544,13240,7
2.78,-13012,5560,13304,7
2.8,-13056,5444,13320,7
2.82,-13084,5624,13316,7
2.84,-13036,5476,13272,7
2.86,-13036,5408,13216,7
2.88,-13048,5548,13420,7
2.9,-13052,5452,13364,7
2.92,-12988,5416,13176,7
2.94,-12660,5368,13380,7
2.96,-12560,5392,13640,7
2.98,-12860,5528,13572,7
3.0,-13192,5512,13388,7
3.02,-13148,5472,13104,7
