Time,GRS,Ax,Ay,Az,Gx,Gy,Gz,HR,SPO2
0.00,1024,-32768,32767,32767,-32768,899,32767,67,42
0.02,1020,-32768,3708,32767,-32768,-10131,24096,67,42
0.04,1020,-32768,-22716,32767,-32768,-12047,3708,67,42
0.06,1026,-32768,-17564,18952,-32768,-24301,-4660,67,42
0.08,1009,-32768,-2040,13484,-32768,-24654,-14598,67,42
0.10,1011,-32768,2688,8880,-32768,-22622,-27548,67,42
0.12,1016,-32768,7536,5876,-32768,-23952,-32768,67,42
0.14,1020,-32768,12804,6208,-32768,-21926,-32768,67,42
0.16,1023,-32768,14888,9612,-32768,-15858,-32768,67,42
0.18,1019,-32684,14724,11680,-32768,-8581,-32768,67,42
0.20,1009,-32768,12708,15392,-32768,-7428,-32768,67,42
0.22,1017,-20412,12856,16140,-32768,-3729,-32768,67,42
0.24,1016,-36,16412,9312,-25600,3602,-30320,67,42
0.26,1016,19596,24756,1204,-11445,7705,-21938,67,42
0.28,1018,32767,32767,800,-629,5696,-17696,67,42
0.30,1019,32767,32767,-5328,-455,1499,-16313,67,42
0.32,1024,32767,30400,-9644,2104,-2991,-2470,67,42
0.34,1032,32767,18376,-9060,15539,1018,15436,67,42
0.36,1020,31536,11728,-6548,28784,10969,32767,67,42
0.38,1028,14572,11808,-444,32767,15783,32767,67,42
0.40,1028,-14748,21192,8644,32767,5365,32767,67,42
0.42,1017,-32768,29964,12280,32767,-1064,32767,67,42
0.44,1006,-32768,28588,7988,32767,-7692,32767,67,42
0.46,1030,-32768,21052,3228,32767,11216,32767,67,42
0.48,1029,-32768,15048,736,32767,32767,25447,67,42
0.50,1024,-32768,16968,1416,32767,32767,22390,67,42
0.52,1011,-31892,18612,6548,32767,32767,22711,67,42
0.54,1032,-25760,13716,8724,32767,25118,20692,67,42
0.56,1011,-15516,10684,6984,32767,29934,16765,67,42
0.58,1022,-21640,16992,15068,32767,32767,12081,67,42
0.60,1027,-31692,21216,32008,32767,31402,7139,67,42
0.62,1032,-32768,16864,32767,25858,21585,1646,67,42
0.64,1025,-32768,18440,32767,16898,7095,-5748,67,42
0.66,1026,-32768,29788,32767,12675,-2848,-9714,67,42
0.68,1024,-32768,32767,32767,3437,-6877,-12285,67,42
0.70,1031,-30332,32767,32767,-17378,-16826,-12493,67,42
0.72,1012,-28556,27840,32767,-29115,-21047,-14098,67,42
0.74,1032,-32768,26768,32767,-28628,-18780,-10430,67,42
0.76,1024,-32768,27332,32767,-31162,-17495,-9822,67,42
0.78,1017,-32768,24472,26256,-32768,-14944,-11953,67,42
0.80,1012,-32768,17568,14400,-32768,-16490,-22055,67,42
0.82,1024,-27140,10844,8480,-32768,-20219,-30631,67,42
0.84,1011,-20648,7092,3596,-32768,-25242,-32768,67,42
0.86,1011,-20816,8988,1476,-32768,-27176,-32768,67,42
0.88,1021,-22692,13196,-80,-32768,-29081,-32768,67,42
0.90,1028,-24916,13904,-548,-32768,-32587,-32768,67,42
0.92,1010,-26236,14788,76,-32768,-32768,-32768,67,42
0.94,1030,-25044,16996,904,-32768,-30586,-32768,67,42
0.96,1014,-21068,17564,-128,-32768,-26868,-32768,67,42
0.98,1024,-15604,16100,-572,-32768,-24199,-32768,67,42
1.00,1020,-4856,14616,-4,-32768,-19862,-31913,67,42
1.02,1023,9996,14540,-436,-27408,-15931,-22531,67,42
1.04,1019,23372,16544,-2228,-20060,-13664,-13600,67,42
1.06,1020,32767,15592,-2824,-11746,-9862,-7377,67,42
1.08,1024,32767,16268,-3096,786,-9662,-2983,67,42
1.10,1018,32767,20352,-8552,11364,-10640,5219,67,42
