Time,GRS,Ax,Ay,Az,Gx,Gy,Gz,HR,SPO2
0.00,990,-3408,-372,20452,393,-410,50,75,59
0.02,1000,-3476,-444,20420,395,-434,35,75,59
0.04,995,-3440,-396,20332,454,-454,33,75,59
0.06,1006,-3436,-428,20456,455,-411,75,75,59
0.08,1004,-3428,-368,20568,445,-378,43,75,59
0.10,1004,-3368,-336,20276,440,-359,55,75,59
0.12,996,-3404,-352,20412,426,-314,55,75,59
0.14,989,-3348,-424,20520,439,-215,59,75,59
0.16,996,-3460,-312,20312,482,-194,78,75,59
0.18,1010,-3504,-296,20424,496,-227,57,75,59
0.20,989,-3524,-336,20596,455,-346,74,75,59
0.22,999,-3460,-276,20396,438,-412,29,75,59
0.24,1006,-3400,-360,20388,453,-425,34,75,59
0.26,1005,-3444,-316,20560,437,-385,23,75,59
0.28,991,-3456,-424,20492,426,-347,37,75,59
0.30,996,-3576,-472,20412,408,-378,23,75,59
0.32,991,-3528,-284,20388,459,-382,65,75,59
0.34,986,-3480,-284,20440,427,-414,23,75,59
0.36,984,-3396,-416,20376,406,-381,55,75,59
0.38,987,-3484,-468,20276,412,-374,44,75,59
0.40,1003,-3492,-404,20448,444,-409,54,75,59
0.42,1007,-3416,-420,20404,467,-398,54,75,59
0.44,994,-3604,-416,20304,464,-416,54,75,59
0.46,997,-3508,-356,20436,449,-450,44,75,59
0.48,1003,-3512,-440,20392,388,-466,27,75,59
0.50,1004,-3400,-340,20348,416,-432,8,75,59
0.52,1007,-3468,-496,20420,453,-385,50,75,59
0.54,1008,-3428,-376,20384,450,-363,30,75,59
0.56,992,-3564,-336,20528,446,-359,50,75,59
0.58,992,-3472,-280,20412,423,-372,31,75,59
0.60,992,-3440,-380,20408,415,-371,0,75,59
0.62,1002,-3628,-320,20376,426,-403,76,75,59
0.64,992,-3564,-284,20444,463,-419,59,75,59
0.66,996,-3528,-344,20552,471,-485,22,75,59
0.68,1002,-3460,-392,20508,440,-468,14,75,59
0.70,999,-3436,-352,20464,420,-424,5,75,59
0.72,993,-3416,-400,20368,434,-392,30,75,59
0.74,996,-3508,-364,20304,457,-353,56,75,59
0.76,993,-3608,-396,20448,453,-407,45,75,59
0.78,996,-3508,-372,20276,476,-438,14,75,59
0.80,1004,-3524,-336,20556,448,-406,11,75,59
0.82,990,-3436,-380,20360,431,-434,16,75,59
0.84,1008,-3520,-300,20344,382,-460,21,75,59
0.86,1003,-3560,-392,20332,392,-524,-3,75,59
0.88,1009,-3556,-428,20416,415,-539,-33,75,59
0.90,997,-3352,-360,20704,488,-568,7,75,59
0.92,998,-3408,-280,20396,457,-522,14,75,59
0.94,993,-3424,-368,20480,392,-462,34,75,59
0.96,1002,-3508,-408,20416,377,-453,8,75,59
0.98,1004,-3360,-424,20484,371,-449,-17,75,59
1.00,1011,-3476,-372,20400,468,-452,19,75,59
1.02,992,-3460,-336,20436,465,-421,16,75,59
1.04,1006,-3444,-304,20500,459,-401,36,75,59
1.06,1004,-3512,-344,20312,461,-454,16,75,59
1.08,1010,-3492,-288,20424,415,-492,17,75,59
1.10,1010,-3464,-448,20484,430,-487,-17,75,59
1.12,1008,-3468,-372,20392,464,-482,25,75,59
1.14,993,-3416,-452,20408,474,-450,25,75,59
1.16,989,-3404,-328,20516,469,-418,26,75,59
1.18,1002,-3660,-304,20604,381,-440,-18,75,59
1.20,996,-3476,-472,20524,410,-505,-13,75,59
1.22,1000,-3400,-408,20480,451,-468,33,75,59
1.24,998,-3388,-288,20404,464,-407,48,75,59
1.26,1002,-3492,-328,20508,427,-440,43,75,59
1.28,1011,-3520,-340,20408,482,-493,14,75,59
1.30,996,-3396,-304,20404,456,-444,9,75,59
1.32,990,-3468,-304,20508,433,-383,38,75,59
1.34,999,-3464,-360,20392,413,-401,45,75,59
1.36,995,-3552,-380,20412,459,-466,20,75,59
1.38,988,-3528,-332,20552,470,-479,25,75,59
1.40,967,-3412,-272,20348,459,-446,30,75,59
1.42,970,-3376,-364,20440,427,-414,23,75,59
1.44,981,-3456,-276,20404,390,-397,24,75,59
1.46,998,-3456,-380,20300,412,-498,20,75,59
1.48,1002,-3364,-404,20316,446,-539,13,75,59
1.50,1005,-3468,-356,20476,434,-525,18,75,59
1.52,999,-3408,-396,20504,457,-478,37,75,59
1.54,1000,-3392,-224,20508,386,-464,51,75,59
1.56,1000,-3460,-340,20348,385,-474,23,75,59
1.58,982,-3412,-364,20512,390,-517,13,75,59
1.60,987,-3292,-484,20444,449,-487,40,75,59
1.62,990,-3448,-416,20460,482,-423,42,75,59
1.64,987,-3556,-344,20428,474,-376,35,75,59
1.66,992,-3492,-320,20480,474,-417,32,75,59
1.68,993,-3400,-308,20460,426,-432,10,75,59
1.70,1007,-3532,-336,20320,394,-484,-12,75,59
1.72,1008,-3364,-476,20484,423,-502,-29,75,59
1.74,1004,-3304,-384,20460,447,-455,23,75,59
1.76,1004,-3420,-360,20500,462,-417,31,75,59
1.78,1012,-3508,-384,20488,401,-408,17,75,59
1.80,991,-3500,-364,20396,389,-438,-17,75,59
1.82,1003,-3532,-408,20272,419,-476,16,75,59
1.84,1019,-3412,-304,20412,463,-464,29,75,59
1.86,1022,-3404,-380,20468,465,-471,24,75,59
1.88,1005,-3420,-384,20436,448,-457,19,75,59
1.90,1015,-3296,-320,20544,441,-416,-10,75,59
1.92,1022,-3352,-268,20356,409,-387,15,75,59
1.94,1006,-3376,-424,20500,421,-401,11,75,59
1.96,986,-3528,-388,20584,455,-447,8,75,59
1.98,1000,-3416,-396,20524,456,-453,-12,75,59
2.00,975,-3384,-304,20456,454,-447,15,75,59
2.02,982,-3268,-320,20452,476,-413,24,75,59
2.04,1004,-3364,-360,20448,423,-429,36,75,59
2.06,1008,-3524,-440,20420,404,-458,9,75,59
2.08,1013,-3440,-408,20340,432,-515,29,75,59
2.10,1000,-3396,-396,20408,417,-506,41,75,59
2.12,1002,-3304,-392,20392,442,-505,-18,75,59
2.14,1006,-3332,-452,20548,452,-504,9,75,59
2.16,992,-3356,-356,20376,461,-436,34,75,59
2.18,995,-3488,-312,20436,391,-368,33,75,59
2.20,1004,-3424,-304,20392,367,-427,18,75,59
2.22,993,-3452,-376,20376,359,-510,12,75,59
2.24,1006,-3352,-492,20588,478,-524,-2,75,59
2.26,996,-3296,-496,20396,453,-442,14,75,59
2.28,999,-3312,-336,20536,478,-327,50,75,59
2.30,1007,-3432,-360,20572,430,-376,51,75,59
2.32,1003,-3608,-340,20424,435,-492,-45,75,59
2.34,993,-3404,-436,20456,431,-589,-22,75,59
2.36,1009,-3372,-372,20380,460,-510,10,75,59
2.38,1016,-3344,-448,20496,460,-449,29,75,59
