Time,GRS,Ax,Ay,Az,Gx,Gy,Gz,HR,SPO2
0.00,1031,-3756,-2852,19976,376,-452,79,71,66
0.02,1014,-3884,-2960,19916,399,-378,94,71,66
0.04,1033,-3956,-2836,19996,411,-325,51,71,66
0.06,1012,-3920,-2880,19972,451,-389,47,71,66
0.08,1025,-3908,-2852,19876,446,-391,38,71,66
0.10,1012,-3872,-2872,19924,432,-393,24,71,66
0.12,1021,-3964,-2876,20012,467,-408,44,71,66
0.14,1008,-3876,-2896,20008,454,-363,59,71,66
0.16,1028,-4024,-2868,19884,423,-393,36,71,66
0.18,1012,-3964,-2840,19964,391,-504,-21,71,66
0.20,1009,-3988,-2832,20020,448,-522,-13,71,66
0.22,1008,-3836,-2808,19964,392,-462,29,71,66
0.24,1006,-3764,-2840,20024,395,-418,85,71,66
0.26,1006,-3824,-2860,19976,382,-388,57,71,66
0.28,1028,-3964,-2944,20044,408,-411,69,71,66
0.30,1012,-3960,-2860,20068,422,-441,23,71,66
0.32,1018,-4028,-2752,20008,427,-477,25,71,66
0.34,1007,-3848,-2876,19976,408,-464,-4,71,66
0.36,1009,-3832,-2900,19940,427,-418,70,71,66
0.38,1015,-3768,-2884,19988,414,-353,74,71,66
0.40,1008,-3984,-2996,19920,423,-412,19,71,66
0.42,1018,-3964,-2804,19880,432,-452,22,71,66
0.44,1003,-3960,-2864,19916,445,-509,9,71,66
0.46,1008,-3824,-2928,19976,423,-502,7,71,66
0.48,1003,-3880,-2888,20080,423,-393,24,71,66
0.50,1015,-3980,-2908,20056,408,-396,18,71,66
0.52,1006,-3908,-2884,19908,433,-483,4,71,66
0.54,1022,-4052,-2812,19892,389,-621,-26,71,66
0.56,998,-4164,-2868,19952,358,-742,-113,71,66
0.58,1007,-3724,-2868,19948,416,-763,-109,71,66
0.60,999,-3396,-2960,19976,398,-669,-21,71,66
0.62,1011,-3568,-2820,20020,415,-364,47,71,66
0.64,1028,-3760,-2944,19980,393,-294,76,71,66
0.66,1014,-3948,-2916,19860,409,-302,99,71,66
0.68,1045,-4008,-2964,19996,425,-395,25,71,66
0.70,1041,-4008,-2784,19912,453,-501,-11,71,66
0.72,1030,-3920,-2920,20160,429,-483,-4,71,66
0.74,1012,-3704,-2864,20040,436,-489,28,71,66
0.76,1012,-3852,-2828,19956,391,-419,47,71,66
0.78,1016,-3988,-2944,19888,373,-430,7,71,66
0.80,1023,-4092,-2916,19980,426,-518,-34,71,66
0.82,1023,-3708,-2908,19892,440,-556,-23,71,66
0.84,1007,-3692,-2860,20104,383,-429,50,71,66
0.86,1023,-3712,-2812,20016,397,-411,34,71,66
0.88,1029,-3924,-2916,19924,401,-364,45,71,66
0.90,1012,-3932,-2988,19876,425,-401,3,71,66
0.92,1013,-3916,-2828,20108,428,-506,-2,71,66
0.94,1016,-3820,-2780,20028,384,-562,-15,71,66
0.96,1000,-3668,-2856,19900,372,-489,15,71,66
0.98,1014,-3772,-2924,19876,414,-423,51,71,66
1.00,1022,-3980,-2976,19944,409,-423,17,71,66
1.02,1013,-4080,-2988,19968,416,-494,0,71,66
1.04,1002,-3864,-2916,19968,417,-546,13,71,66
1.06,1012,-3684,-2824,19944,433,-521,16,71,66
1.08,1010,-3800,-2908,19936,393,-430,66,71,66
1.10,1016,-3836,-2800,20040,426,-343,54,71,66
1.12,996,-3884,-2888,20032,434,-381,55,71,66
1.14,1024,-3880,-2920,19948,443,-399,22,71,66
1.16,998,-3888,-2920,19992,436,-447,25,71,66
1.18,1000,-3788,-2716,20024,437,-489,-7,71,66
1.20,1002,-3696,-2868,20068,426,-426,54,71,66
1.22,1020,-3892,-2912,19972,412,-409,58,71,66
1.24,1007,-3800,-2912,19984,426,-369,50,71,66
1.26,1002,-3980,-2952,19984,434,-392,33,71,66
1.28,1001,-3824,-3004,20020,438,-410,28,59,71
1.30,1031,-3844,-2736,20056,403,-428,61,59,71
1.32,1016,-3876,-2920,20048,408,-419,35,59,71
1.34,996,-3748,-2880,19864,398,-341,73,59,71
1.36,1001,-3976,-2828,20072,391,-354,59,59,71
1.38,1000,-3932,-2856,19956,407,-446,40,59,71
1.40,1001,-4068,-2804,19932,409,-523,-33,59,71
1.42,1007,-3756,-2904,19920,444,-595,-27,59,71
1.44,1014,-3688,-2716,20016,423,-452,27,59,71
1.46,1010,-3756,-3088,20088,379,-344,61,59,71
1.48,1020,-3900,-3040,20104,445,-301,101,59,71
1.50,1012,-3928,-2828,19856,410,-294,66,59,71
1.52,1013,-3996,-2824,19984,404,-406,47,59,71
1.54,1015,-3796,-2824,19924,426,-468,54,59,71
1.56,1025,-3744,-2864,19996,400,-392,82,59,71
1.58,1009,-3764,-2832,20012,421,-305,93,59,71
1.60,1024,-3916,-2880,20028,417,-365,63,59,71
1.62,1000,-3912,-2888,20060,436,-419,39,59,71
1.64,1010,-3844,-2928,19968,431,-430,31,59,71
1.66,1012,-3776,-2828,19824,437,-447,46,59,71
1.68,1008,-3712,-2904,20052,414,-346,62,59,71
1.70,1000,-3996,-2852,19992,393,-325,91,59,71
1.72,1010,-3884,-2928,19920,436,-353,71,59,71
1.74,1015,-3944,-2796,19956,432,-405,42,59,71
1.76,1027,-3812,-2828,20068,440,-483,39,59,71
1.78,1020,-3812,-2816,20084,390,-443,64,59,71
1.80,1005,-3900,-2892,20048,406,-373,59,59,71
1.82,1006,-3896,-2768,19972,397,-359,86,59,71
1.84,1016,-3936,-2916,19920,404,-406,46,59,71
1.86,1032,-3996,-2916,20152,425,-504,76,59,71
1.88,1024,-3884,-2960,20120,426,-499,19,59,71
1.90,1023,-3900,-2904,20016,357,-327,78,59,71
1.92,1025,-3888,-2984,19900,413,-441,61,59,71
1.94,1011,-3924,-2884,19908,436,-458,40,59,71
1.96,1025,-3916,-2968,19832,412,-477,-9,59,71
1.98,1022,-3824,-2876,19952,438,-509,8,59,71
2.00,1024,-3836,-2924,19848,443,-429,28,59,71
2.02,1008,-3836,-2936,19944,411,-395,68,59,71
2.04,1019,-3932,-2896,20052,423,-426,45,59,71
2.06,1030,-4108,-2860,19992,401,-471,6,59,71
2.08,996,-3868,-2944,19980,431,-493,32,59,71
2.10,1041,-3788,-2804,20008,420,-397,60,59,71
2.12,999,-3864,-2912,20120,406,-363,69,59,71
2.14,1042,-3992,-2864,20008,405,-369,42,59,71
2.16,1016,-4052,-2980,20016,427,-401,34,59,71
2.18,1015,-3892,-2776,19864,420,-411,-5,59,71
2.20,1021,-3848,-2904,20176,425,-462,17,59,71
2.22,1016,-3776,-2780,19960,423,-416,36,59,71
2.24,992,-3972,-2968,19908,412,-397,60,59,71
2.26,1019,-3980,-2960,20088,404,-435,49,59,71
2.28,1028,-3944,-2896,19944,414,-381,43,59,71
2.30,1017,-3868,-2924,20000,452,-451,52,59,71
2.32,1003,-3964,-2836,20100,399,-376,13,59,71
2.34,1021,-3948,-2984,19996,424,-496,50,59,71
2.36,1012,-3940,-2760,20008,451,-435,4,59,71
2.38,1012,-3932,-3032,19840,412,-484,-17,59,71
2.40,1016,-3884,-2816,20044,443,-325,33,59,71
2.42,1019,-3876,-2932,19972,445,-381,28,59,71
2.44,1015,-3936,-2768,19956,425,-441,44,59,71
2.46,1006,-3928,-2928,19984,386,-465,9,59,71
2.48,1003,-3908,-2848,19964,422,-512,-1,59,71
2.50,1024,-3868,-2944,19888,409,-473,29,59,71
2.52,1025,-3808,-2860,19928,405,-412,39,59,71
2.54,1025,-3988,-2960,20080,406,-437,35,59,71
2.56,1016,-3968,-2936,20008,397,-505,20,59,71
2.58,1024,-3876,-2920,19976,367,-524,-15,59,71
2.60,1014,-3908,-2860,19908,390,-590,-15,59,71
2.62,1017,-3836,-2996,19912,409,-560,-23,59,71
2.64,1009,-3784,-2888,20048,442,-513,28,59,71
2.66,1013,-3752,-2824,20012,384,-450,24,59,71
2.68,1013,-3760,-2908,19952,394,-469,44,59,71
2.70,1004,-3932,-2940,20132,412,-469,20,59,71
2.72,1024,-3940,-2824,19900,428,-520,46,59,71
2.74,1034,-3776,-2856,19936,398,-464,32,59,71
2.76,1002,-3912,-2908,20088,363,-413,41,59,71
2.78,1012,-3896,-3020,19948,397,-362,51,59,71
2.80,1017,-3944,-2900,19876,400,-416,49,59,71
2.82,1025,-3908,-2904,20000,421,-436,22,59,71
2.84,1014,-3848,-2888,19840,455,-441,15,59,71
2.86,1013,-3860,-2900,20096,425,-455,-4,59,71
2.88,1021,-3868,-2948,19836,412,-448,-4,59,71
2.90,1020,-3976,-2788,20060,409,-431,15,59,71
2.92,1010,-3936,-2828,19944,451,-506,3,59,71
2.94,1009,-3956,-2820,20040,380,-541,-5,59,71
2.96,1029,-3824,-2912,19956,380,-463,-21,59,71
2.98,1024,-3896,-2932,19908,412,-530,-31,59,71
3.00,1008,-3812,-2824,20020,406,-430,52,59,71
3.02,1014,-3852,-3044,19940,429,-390,32,59,71
3.04,1024,-3884,-2912,19972,432,-412,-11,59,71
3.06,1022,-3840,-2908,19964,430,-508,0,59,71
3.08,1012,-3808,-2900,19916,397,-505,-6,59,71
3.10,1010,-3740,-2916,19884,399,-437,35,59,71
3.12,1024,-3884,-2944,20072,425,-389,56,59,71
3.14,1009,-3836,-2972,19964,437,-413,68,59,71
3.16,1010,-4016,-2760,19944,401,-435,43,59,71
3.18,1031,-3796,-2840,19832,436,-467,41,59,71
3.20,1011,-3892,-2932,19964,429,-459,54,59,71
3.22,1028,-3888,-2932,20012,418,-459,24,59,71
3.24,1010,-3952,-2856,19844,431,-408,54,59,71
3.26,1010,-3860,-2936,19952,448,-360,50,59,71
3.28,1021,-3868,-2904,20060,467,-344,49,59,71
3.30,1010,-3904,-2936,19940,445,-298,115,59,71
3.32,1012,-3812,-2808,19864,457,-251,133,59,71
3.34,1012,-3924,-2728,19940,437,-206,151,59,71
3.36,1028,-3884,-2836,19888,445,-234,144,59,71
3.38,1025,-4028,-2832,20028,412,-280,99,59,71
3.40,1015,-4028,-2896,20124,429,-411,41,59,71
3.42,1024,-3852,-2820,19920,431,-425,-27,59,71
3.44,1020,-3884,-2888,19948,435,-479,-30,59,71
3.46,1024,-3952,-2964,20080,434,-406,-52,59,71
3.48,1022,-4148,-2964,19980,425,-450,-15,59,71
3.50,1016,-3932,-2824,19920,465,-541,-3,59,71
3.52,1025,-4156,-2656,19968,372,-640,-96,59,71
3.54,1010,-3824,-2916,19876,395,-650,-57,59,71
3.56,1009,-3700,-2896,19832,390,-590,10,59,71
3.58,1027,-3476,-2852,19988,382,-504,64,59,71
3.60,1014,-3556,-2984,20020,403,-344,151,59,71
3.62,1031,-3860,-2880,19984,355,-217,150,59,71
3.64,1018,-3900,-2964,19820,394,-327,165,59,71
3.66,1023,-3968,-2832,19944,411,-352,118,59,71
3.68,1015,-3988,-2968,19884,419,-331,85,59,71
3.70,1006,-3724,-2908,20196,449,-382,58,59,71
3.72,1020,-3744,-2888,20120,458,-289,33,59,71
3.74,1032,-3896,-2788,19984,454,-269,23,59,71
3.76,1022,-3936,-2928,19892,481,-295,44,59,71
3.78,1009,-3968,-2868,20056,433,-286,58,59,71
3.80,990,-4060,-2804,19944,411,-342,14,59,71
3.82,1007,-4008,-2920,20028,435,-368,74,59,71
3.84,1023,-3904,-2912,19924,412,-369,82,59,71
3.86,997,-4008,-2876,19992,427,-358,93,59,71
3.88,1014,-3980,-2860,20100,383,-370,63,59,71
3.90,1017,-4040,-2904,19888,405,-425,26,59,71
3.92,1019,-3884,-2844,19804,412,-438,-2,59,71
3.94,1007,-3860,-2876,19884,442,-391,44,59,71
3.96,1005,-3828,-2880,19892,447,-384,42,59,71
3.98,1002,-4044,-2848,20048,423,-411,28,59,71
4.00,1020,-3992,-2912,19956,450,-500,0,59,71
4.02,1010,-4004,-2812,19904,414,-558,-39,59,71
4.04,1009,-4380,-2580,20060,373,-708,-101,59,71
4.06,1023,-4100,-2928,19800,412,-764,-156,59,71
4.08,1005,-3652,-2952,20100,440,-694,-58,59,71
4.10,1006,-3516,-2928,20200,431,-580,-11,59,71
4.12,1011,-3768,-2780,20016,371,-333,62,59,71
4.14,1008,-4092,-2864,19924,347,-343,49,59,71
4.16,1012,-4000,-2800,19724,412,-566,29,59,71
4.18,1028,-3832,-2796,20044,400,-494,71,59,71
4.20,1018,-3892,-2812,19964,378,-444,81,59,71
